gr2_PMC4983645;C0441633;0
PAMJ-25-65-g001;C0441633;0
rt-2011-2-e18-g001;C0441633;0
rt-2011-2-e18-g002;C0441633;0
srep23711-f4;C0441633;0
AJUM-18-10-g001;C0441633;0
1752-1947-6-427-1;C0441633;0
pone.0103688.g003;C0441633;0
1749-8090-1-30-3;C0441633;0
1749-8090-1-30-4;C0441633;0
1749-8090-1-30-9;C0441633;0
1749-8090-1-30-10;C0441633;0
CPT-62-05-0387-f01;C0441633;0
CPT-62-05-0387-f15;C0441633;0
CPT-62-05-0387-f28;C0441633;0
1749-8090-2-29-1;C0441633;0
NAJMS-4-516-g001;C0441633;0
CRIPA2014-928065.001;C0441633;0
1752-1947-7-105-6;C0441633;0
jdapm-15-31-g002;C0441633;0
JCVJS-4-56-g002;C0441633;0
JCVJS-4-56-g004;C0441633;0
13213_2011_292_Fig2_HTML;C0441633;0
1752-1947-5-24-1;C0441633;0
cios-9-91-g002;C0441633;0
i1536-2442-003-03-0001-f102;C0441633;0
LI-33-487-g001;C0441633;0
13256_2015_778_Fig1_HTML;C0441633;0
1471-2369-14-26-1;C0441633;0
0392-100X-34-247-g002;C0441633;0
jscr-2012-10-5fig1;C0441633;0
CRIOT2016-9867942.003;C0441633;0
CRIOT2016-9867942.004;C0441633;0
JIAPS-13-115-g001;C0441633;0
JIAPS-13-115-g002;C0441633;0
1752-1947-6-226-2;C0441633;0
1752-1947-6-226-3;C0441633;0
OJO-3-153-g002;C0441633;0
JIAPS-21-181-g002;C0441633;0
CRIG2015-453105.002;C0441633;0
CRIG2015-453105.003;C0441633;0
sigs.761-f2;C0441633;0
OL-08-04-1599-g01;C0441633;0
12917_2016_739_Fig4_HTML;C0441633;0
JIAPS-21-87-g002;C0441633;0
kjtcv-49-001f1;C0441633;0
13244_2016_514_Fig1_HTML;C0441633;0
1471-2369-15-59-2;C0441633;0
1749-8090-3-18-2;C0441633;0
WJNM-10-20-g001;C0441633;0
rt-2012-3-e41-g002;C0441633;0
1477-7819-10-55-1;C0441633;0
sigs.492-f2;C0441633;0
1477-7819-6-4-2;C0441633;0
gr2_PMC4844668;C0441633;0
CCD-2-106-g004;C0441633;0
sigs.48727-f2;C0441633;0
sigs.1283367-f2;C0441633;0
CRIM2011-208940.002;C0441633;0
CRIM2011-208940.003;C0441633;0
ncomms9104-f5;C0441633;0
mco-05-01-0027-g01;C0441633;0
IJRI-19-314-g004;C0441633;0
srep44666-f2;C0441633;0
1349-7235-56-0973-g001;C0441633;0
1349-7235-56-0973-g005;C0441633;0
IJRI-26-513-g001;C0441633;0
JCIS-3-11-g006;C0441633;0
JCIS-3-11-g007;C0441633;0
sigs.5209235-f2;C0441633;0
cp-2016-1-838-g001;C0441633;0
cm-86-383f1;C0441633;0
1477-7819-4-72-1;C0441633;0
1556-276X-2-519-17;C0441633;0
0392-100X-36-144-g001;C0441633;0
0392-100X-36-144-g003;C0441633;0
jls0041026710001;C0441633;0
